experiment,avg_k_cossim,avg_v_cossim,delta_v,avg_ratio,avg_mem_kb,avg_time_ms,early_v_cos,middle_v_cos,late_v_cos
Baseline,0.937836,0.979606,+0.000000,3.58,110.5,141.1,0.974937,0.982759,0.977968
R3_DCT,0.965078,0.976046,-0.003560,2.91,136.0,225.0,0.976650,0.975272,0.976990
R3_DWT,0.962292,0.987130,+0.007525,2.91,136.0,143.4,0.985608,0.988691,0.985532
R3_AUTO,0.962292,0.897564,-0.082042,2.91,136.0,1151.3,0.976650,0.975272,0.663063
R1_AdaptMask,0.966941,0.983812,+0.004206,2.89,136.9,1545.6,0.977425,0.986947,0.983929
R1_AdaptMask_Strong,0.979176,0.985879,+0.006273,2.43,163.4,1680.4,0.978699,0.988957,0.986905
R1+R3_AUTO+Mask,0.983142,0.907485,-0.072120,2.33,170.0,2890.2,0.979429,0.978155,0.694202
R1+R3_DCT+Mask,0.980082,0.978869,-0.000736,2.33,170.0,1833.9,0.979429,0.978155,0.979738
R2_CrossHeadRes,0.936561,0.979101,-0.000505,3.58,110.5,109.8,0.974414,0.982323,0.977343
R2+DCT_CrossHead,0.954308,0.964038,-0.015568,2.91,136.0,148.9,0.966008,0.964197,0.961749
R1+R2+R3_Full,0.982841,0.890712,-0.088894,2.33,170.0,2651.0,0.968725,0.967036,0.660051
