experiment,layer,region,k_cossim,v_cossim,ratio,mem_kb,time_ms
Baseline,0,early,0.939645,0.960494,3.58,110.5,560.3
Baseline,1,early,0.943781,0.977905,3.58,110.5,89.4
Baseline,2,early,0.946971,0.983660,3.58,110.5,90.2
Baseline,3,early,0.918388,0.977689,3.58,110.5,88.8
Baseline,4,middle,0.914093,0.987374,3.58,110.5,112.4
Baseline,5,middle,0.929673,0.977009,3.58,110.5,101.4
Baseline,6,middle,0.923309,0.981617,3.58,110.5,115.1
Baseline,7,middle,0.940546,0.983608,3.58,110.5,98.3
Baseline,8,middle,0.945914,0.983364,3.58,110.5,115.9
Baseline,9,middle,0.931506,0.983038,3.58,110.5,106.9
Baseline,10,middle,0.966606,0.985043,3.58,110.5,123.5
Baseline,11,middle,0.927027,0.981020,3.58,110.5,112.6
Baseline,12,late,0.935835,0.974455,3.58,110.5,112.8
Baseline,13,late,0.947143,0.978016,3.58,110.5,161.1
Baseline,14,late,0.956872,0.983280,3.58,110.5,112.3
Baseline,15,late,0.938066,0.976120,3.58,110.5,156.5
R3_DCT,0,early,0.959758,0.975335,2.91,136.0,1024.0
R3_DCT,1,early,0.959023,0.977140,2.91,136.0,175.3
R3_DCT,2,early,0.963249,0.976281,2.91,136.0,176.0
R3_DCT,3,early,0.962924,0.977845,2.91,136.0,165.7
R3_DCT,4,middle,0.963170,0.976525,2.91,136.0,227.2
R3_DCT,5,middle,0.966480,0.972794,2.91,136.0,197.5
R3_DCT,6,middle,0.967588,0.975493,2.91,136.0,257.9
R3_DCT,7,middle,0.966046,0.977202,2.91,136.0,149.2
R3_DCT,8,middle,0.967897,0.977281,2.91,136.0,132.0
R3_DCT,9,middle,0.964061,0.973326,2.91,136.0,145.9
R3_DCT,10,middle,0.968119,0.973384,2.91,136.0,165.6
R3_DCT,11,middle,0.968399,0.976170,2.91,136.0,162.8
R3_DCT,12,late,0.966312,0.976830,2.91,136.0,165.3
R3_DCT,13,late,0.963506,0.976740,2.91,136.0,120.9
R3_DCT,14,late,0.968523,0.977014,2.91,136.0,148.6
R3_DCT,15,late,0.966186,0.977378,2.91,136.0,186.5
R3_DWT,0,early,0.962869,0.980127,2.91,136.0,158.4
R3_DWT,1,early,0.962240,0.987764,2.91,136.0,134.6
R3_DWT,2,early,0.966162,0.988862,2.91,136.0,146.3
R3_DWT,3,early,0.951240,0.985678,2.91,136.0,145.5
R3_DWT,4,middle,0.955463,0.989472,2.91,136.0,135.1
R3_DWT,5,middle,0.958639,0.988875,2.91,136.0,153.0
R3_DWT,6,middle,0.955548,0.988503,2.91,136.0,170.4
R3_DWT,7,middle,0.965620,0.989212,2.91,136.0,129.0
R3_DWT,8,middle,0.965393,0.990069,2.91,136.0,121.2
R3_DWT,9,middle,0.963312,0.988528,2.91,136.0,132.0
R3_DWT,10,middle,0.970204,0.988402,2.91,136.0,135.2
R3_DWT,11,middle,0.959653,0.986467,2.91,136.0,116.2
R3_DWT,12,late,0.962690,0.984305,2.91,136.0,148.0
R3_DWT,13,late,0.967031,0.986269,2.91,136.0,155.1
R3_DWT,14,late,0.968588,0.986041,2.91,136.0,139.4
R3_DWT,15,late,0.962017,0.985514,2.91,136.0,175.7
R3_AUTO,0,early,0.962869,0.975335,2.91,136.0,1312.8
R3_AUTO,1,early,0.962240,0.977140,2.91,136.0,1283.0
R3_AUTO,2,early,0.966162,0.976281,2.91,136.0,1005.6
R3_AUTO,3,early,0.951240,0.977845,2.91,136.0,997.9
R3_AUTO,4,middle,0.955463,0.976525,2.91,136.0,1234.9
R3_AUTO,5,middle,0.958639,0.972794,2.91,136.0,1568.6
R3_AUTO,6,middle,0.955548,0.975493,2.91,136.0,1018.1
R3_AUTO,7,middle,0.965620,0.977202,2.91,136.0,993.2
R3_AUTO,8,middle,0.965393,0.977281,2.91,136.0,1101.2
R3_AUTO,9,middle,0.963312,0.973326,2.91,136.0,1053.1
R3_AUTO,10,middle,0.970204,0.973384,2.91,136.0,1628.3
R3_AUTO,11,middle,0.959653,0.976170,2.91,136.0,1168.7
R3_AUTO,12,late,0.962690,0.854601,2.91,136.0,1009.2
R3_AUTO,13,late,0.967031,0.711667,2.91,136.0,1024.8
R3_AUTO,14,late,0.968588,0.530809,2.91,136.0,1033.6
R3_AUTO,15,late,0.962017,0.555175,2.91,136.0,988.6
R1_AdaptMask,0,early,0.965873,0.960494,3.19,124.3,1274.3
R1_AdaptMask,1,early,0.971398,0.980070,2.98,132.9,1526.7
R1_AdaptMask,2,early,0.972912,0.987137,2.87,138.1,1849.2
R1_AdaptMask,3,early,0.954295,0.981997,2.87,138.1,1383.6
R1_AdaptMask,4,middle,0.951326,0.990247,2.87,138.1,1347.2
R1_AdaptMask,5,middle,0.962676,0.982436,2.87,138.1,1421.2
R1_AdaptMask,6,middle,0.958060,0.986050,2.87,138.1,1882.6
R1_AdaptMask,7,middle,0.968758,0.987550,2.87,138.1,1476.6
R1_AdaptMask,8,middle,0.972660,0.987862,2.87,138.1,1416.8
R1_AdaptMask,9,middle,0.962469,0.987223,2.87,138.1,1405.1
R1_AdaptMask,10,middle,0.986059,0.988923,2.87,138.1,1397.0
R1_AdaptMask,11,middle,0.960269,0.985287,2.87,138.1,1969.3
R1_AdaptMask,12,late,0.965374,0.980714,2.87,138.1,1704.0
R1_AdaptMask,13,late,0.973453,0.983786,2.87,138.1,1338.1
R1_AdaptMask,14,late,0.979031,0.988015,2.87,138.1,1485.0
R1_AdaptMask,15,late,0.966446,0.983202,2.87,138.1,1853.4
R1_AdaptMask_Strong,0,early,0.977741,0.960494,2.87,138.1,1636.3
R1_AdaptMask_Strong,1,early,0.982213,0.981262,2.55,155.4,1381.1
R1_AdaptMask_Strong,2,early,0.983681,0.988804,2.39,165.8,1547.2
R1_AdaptMask_Strong,3,early,0.970672,0.984234,2.39,165.8,1552.0
R1_AdaptMask_Strong,4,middle,0.968626,0.991549,2.39,165.8,2036.9
R1_AdaptMask_Strong,5,middle,0.976068,0.985228,2.39,165.8,1524.9
R1_AdaptMask_Strong,6,middle,0.972736,0.988218,2.39,165.8,1481.4
R1_AdaptMask_Strong,7,middle,0.980463,0.989439,2.39,165.8,2003.9
R1_AdaptMask_Strong,8,middle,0.983219,0.989985,2.39,165.8,1670.5
R1_AdaptMask_Strong,9,middle,0.976572,0.989200,2.39,165.8,1536.0
R1_AdaptMask_Strong,10,middle,0.992407,0.990717,2.39,165.8,1875.1
R1_AdaptMask_Strong,11,middle,0.974552,0.987317,2.39,165.8,1710.4
R1_AdaptMask_Strong,12,late,0.977983,0.983985,2.39,165.8,1546.7
R1_AdaptMask_Strong,13,late,0.983611,0.986673,2.39,165.8,1693.2
R1_AdaptMask_Strong,14,late,0.987551,0.990187,2.39,165.8,2117.6
R1_AdaptMask_Strong,15,late,0.978717,0.986774,2.39,165.8,1573.1
R1+R3_AUTO+Mask,0,early,0.982472,0.978239,2.33,170.0,2874.0
R1+R3_AUTO+Mask,1,early,0.982953,0.979933,2.33,170.0,2689.7
R1+R3_AUTO+Mask,2,early,0.985065,0.978997,2.33,170.0,2971.5
R1+R3_AUTO+Mask,3,early,0.977121,0.980545,2.33,170.0,2752.7
R1+R3_AUTO+Mask,4,middle,0.979399,0.979358,2.33,170.0,2634.0
R1+R3_AUTO+Mask,5,middle,0.981460,0.975693,2.33,170.0,2594.7
R1+R3_AUTO+Mask,6,middle,0.979732,0.978341,2.33,170.0,3219.6
R1+R3_AUTO+Mask,7,middle,0.985379,0.980053,2.33,170.0,2632.0
R1+R3_AUTO+Mask,8,middle,0.984927,0.979959,2.33,170.0,2605.2
