experiment,avg_k_cossim,avg_v_cossim,delta_v,avg_ratio,avg_mem_kb,avg_time_ms,early_v_cos,middle_v_cos,late_v_cos
Baseline,0.934711,0.976361,+0.000000,3.58,110.5,224.9,0.960494,0.985369,0.975287
R3_DCT,0.964665,0.976670,+0.000308,2.91,136.0,297.4,0.975335,0.976903,0.977104
R3_DWT,0.961686,0.985898,+0.009536,2.91,136.0,138.3,0.980127,0.989771,0.984910
R3_AUTO,0.961686,0.867783,-0.108578,2.91,136.0,1160.8,0.975335,0.976903,0.704888
R1_AdaptMask,0.964336,0.980504,+0.004142,2.93,135.4,1521.3,0.960494,0.989054,0.981958
R1_AdaptMask_Strong,0.977257,0.982558,+0.006196,2.48,160.2,1734.6,0.960494,0.990767,0.985380
R1+R3_AUTO+Mask,0.982622,0.881460,-0.094902,2.33,170.0,2922.9,0.978239,0.979658,0.734872
R1+R3_DCT+Mask,0.979704,0.979437,+0.003076,2.33,170.0,1952.4,0.978239,0.979658,0.979815
R2_CrossHeadRes,0.933178,0.975885,-0.000476,3.58,110.5,72.3,0.959600,0.985144,0.974769
R2+DCT_CrossHead,0.951984,0.966222,-0.010140,2.91,136.0,108.2,0.964727,0.967221,0.965969
R1+R2+R3_Full,0.982278,0.874837,-0.101524,2.33,170.0,2897.3,0.967608,0.969969,0.733321
