experiment,layer,region,k_cossim,v_cossim,ratio,mem_kb,time_ms
Baseline,0,early,0.939645,0.960494,3.58,110.5,625.1
Baseline,4,middle,0.914093,0.987374,3.58,110.5,91.9
Baseline,8,middle,0.945914,0.983364,3.58,110.5,133.4
Baseline,12,late,0.935835,0.974455,3.58,110.5,134.8
Baseline,15,late,0.938066,0.976120,3.58,110.5,138.9
R3_DCT,0,early,0.959758,0.975335,2.91,136.0,902.6
R3_DCT,4,middle,0.963170,0.976525,2.91,136.0,162.3
R3_DCT,8,middle,0.967897,0.977281,2.91,136.0,134.2
R3_DCT,12,late,0.966312,0.976830,2.91,136.0,127.3
R3_DCT,15,late,0.966186,0.977378,2.91,136.0,160.9
R3_DWT,0,early,0.962869,0.980127,2.91,136.0,137.1
R3_DWT,4,middle,0.955463,0.989472,2.91,136.0,130.3
R3_DWT,8,middle,0.965393,0.990069,2.91,136.0,157.0
R3_DWT,12,late,0.962690,0.984305,2.91,136.0,151.6
R3_DWT,15,late,0.962017,0.985514,2.91,136.0,115.5
R3_AUTO,0,early,0.962869,0.975335,2.91,136.0,1341.2
R3_AUTO,4,middle,0.955463,0.976525,2.91,136.0,1350.8
R3_AUTO,8,middle,0.965393,0.977281,2.91,136.0,1010.6
R3_AUTO,12,late,0.962690,0.854601,2.91,136.0,1050.4
R3_AUTO,15,late,0.962017,0.555175,2.91,136.0,1050.8
R1_AdaptMask,0,early,0.965873,0.960494,3.19,124.3,1552.0
R1_AdaptMask,4,middle,0.951326,0.990247,2.87,138.1,1467.6
R1_AdaptMask,8,middle,0.972660,0.987862,2.87,138.1,1368.8
R1_AdaptMask,12,late,0.965374,0.980714,2.87,138.1,1776.2
R1_AdaptMask,15,late,0.966446,0.983202,2.87,138.1,1442.0
R1_AdaptMask_Strong,0,early,0.977741,0.960494,2.87,138.1,1346.4
R1_AdaptMask_Strong,4,middle,0.968626,0.991549,2.39,165.8,1783.1
R1_AdaptMask_Strong,8,middle,0.983219,0.989985,2.39,165.8,1954.7
R1_AdaptMask_Strong,12,late,0.977983,0.983985,2.39,165.8,1671.9
R1_AdaptMask_Strong,15,late,0.978717,0.986774,2.39,165.8,1916.9
R1+R3_AUTO+Mask,0,early,0.982472,0.978239,2.33,170.0,2942.5
R1+R3_AUTO+Mask,4,middle,0.979399,0.979358,2.33,170.0,2785.7
R1+R3_AUTO+Mask,8,middle,0.984927,0.979959,2.33,170.0,3260.8
R1+R3_AUTO+Mask,12,late,0.983581,0.873823,2.33,170.0,2607.4
R1+R3_AUTO+Mask,15,late,0.982730,0.595920,2.33,170.0,3018.1
R1+R3_DCT+Mask,0,early,0.975357,0.978239,2.33,170.0,1965.4
R1+R3_DCT+Mask,4,middle,0.978337,0.979358,2.33,170.0,1654.9
R1+R3_DCT+Mask,8,middle,0.982607,0.979959,2.33,170.0,2642.1
R1+R3_DCT+Mask,12,late,0.981444,0.979582,2.33,170.0,1833.6
R1+R3_DCT+Mask,15,late,0.980774,0.980048,2.33,170.0,1665.8
R2_CrossHeadRes,0,early,0.938274,0.959600,3.58,110.5,77.4
R2_CrossHeadRes,4,middle,0.912976,0.987161,3.58,110.5,76.5
R2_CrossHeadRes,8,middle,0.945199,0.983127,3.58,110.5,68.5
R2_CrossHeadRes,12,late,0.934416,0.973637,3.58,110.5,67.8
R2_CrossHeadRes,15,late,0.935023,0.975901,3.58,110.5,71.1
R2+DCT_CrossHead,0,early,0.940680,0.964727,2.91,136.0,106.0
R2+DCT_CrossHead,4,middle,0.954783,0.967149,2.91,136.0,91.5
R2+DCT_CrossHead,8,middle,0.959059,0.967293,2.91,136.0,112.8
R2+DCT_CrossHead,12,late,0.954236,0.962336,2.91,136.0,124.3
R2+DCT_CrossHead,15,late,0.951161,0.969603,2.91,136.0,106.6
R1+R2+R3_Full,0,early,0.982124,0.967608,2.33,170.0,3528.7
R1+R2+R3_Full,4,middle,0.979168,0.969875,2.33,170.0,2549.9
R1+R2+R3_Full,8,middle,0.984773,0.970062,2.33,170.0,2943.4
R1+R2+R3_Full,12,late,0.983239,0.860692,2.33,170.0,2930.9
R1+R2+R3_Full,15,late,0.982087,0.605950,2.33,170.0,2533.5
