experiment,avg_k_cossim,avg_v_cossim,delta_v,avg_ratio,avg_mem_kb,avg_time_ms,early_v_cos,middle_v_cos,late_v_cos
Baseline,0.966941,0.970324,+0.000000,3.58,110.5,131.1,0.964859,0.974365,0.967707
R3_DCT,0.980082,0.970287,-0.000037,2.91,136.0,189.7,0.970957,0.969440,0.971310
R3_DWT,0.983188,0.979921,+0.009597,2.91,136.0,128.7,0.977878,0.982091,0.977624
R3_AUTO,0.983188,0.892020,-0.078304,2.91,136.0,1017.7,0.970957,0.969440,0.658243
R1_AdaptMask,0.979176,0.977515,+0.007192,2.89,136.9,1271.5,0.969030,0.981735,0.977562
R1_AdaptMask_Strong,0.986931,0.981724,+0.011400,2.43,163.4,1384.5,0.971521,0.985924,0.983525
R1+R3_AUTO+Mask,0.990457,0.897564,-0.072760,2.33,170.0,2258.9,0.976650,0.975272,0.663063
R1+R3_DCT+Mask,0.984946,0.976046,+0.005722,2.33,170.0,1617.6,0.976650,0.975272,0.976990
R2_CrossHeadRes,0.966295,0.969607,-0.000716,3.58,110.5,61.2,0.964151,0.973735,0.966808
R2+DCT_CrossHead,0.969109,0.958366,-0.011958,2.91,136.0,122.4,0.960376,0.958436,0.956216
R1+R2+R3_Full,0.990314,0.878757,-0.091566,2.33,170.0,2278.5,0.966008,0.964197,0.620628
