experiment,layer,region,k_cossim,v_cossim,ratio,mem_kb,time_ms
Baseline,0,early,0.965873,0.946802,3.58,110.5,524.3
Baseline,1,early,0.971398,0.968311,3.58,110.5,83.5
Baseline,2,early,0.972912,0.975604,3.58,110.5,84.8
Baseline,3,early,0.954295,0.968718,3.58,110.5,109.4
Baseline,4,middle,0.951326,0.980316,3.58,110.5,78.5
Baseline,5,middle,0.962676,0.966863,3.58,110.5,93.3
Baseline,6,middle,0.958060,0.972928,3.58,110.5,110.9
Baseline,7,middle,0.968758,0.975558,3.58,110.5,113.2
Baseline,8,middle,0.972660,0.974971,3.58,110.5,119.9
Baseline,9,middle,0.962469,0.974633,3.58,110.5,101.5
Baseline,10,middle,0.986059,0.977247,3.58,110.5,95.7
Baseline,11,middle,0.960269,0.972401,3.58,110.5,105.8
Baseline,12,late,0.965374,0.963537,3.58,110.5,134.8
Baseline,13,late,0.973453,0.968183,3.58,110.5,122.4
Baseline,14,late,0.979031,0.974416,3.58,110.5,126.9
Baseline,15,late,0.966446,0.964690,3.58,110.5,91.9
R3_DCT,0,early,0.975357,0.969375,2.91,136.0,897.1
R3_DCT,1,early,0.974016,0.971556,2.91,136.0,124.6
R3_DCT,2,early,0.978535,0.970679,2.91,136.0,142.2
R3_DCT,3,early,0.978112,0.972218,2.91,136.0,144.2
R3_DCT,4,middle,0.978337,0.970823,2.91,136.0,178.1
R3_DCT,5,middle,0.981441,0.966955,2.91,136.0,173.7
R3_DCT,6,middle,0.982014,0.969562,2.91,136.0,164.4
R3_DCT,7,middle,0.981052,0.971411,2.91,136.0,116.1
R3_DCT,8,middle,0.982607,0.971639,2.91,136.0,101.3
R3_DCT,9,middle,0.980072,0.967480,2.91,136.0,154.4
R3_DCT,10,middle,0.982835,0.967422,2.91,136.0,129.8
R3_DCT,11,middle,0.982377,0.970225,2.91,136.0,113.4
R3_DCT,12,late,0.981444,0.971064,2.91,136.0,149.0
R3_DCT,13,late,0.979267,0.970987,2.91,136.0,162.5
R3_DCT,14,late,0.983065,0.971400,2.91,136.0,165.5
R3_DCT,15,late,0.980774,0.971789,2.91,136.0,119.5
R3_DWT,0,early,0.982632,0.970191,2.91,136.0,102.1
R3_DWT,1,early,0.982960,0.980677,2.91,136.0,105.5
R3_DWT,2,early,0.985093,0.982386,2.91,136.0,160.1
R3_DWT,3,early,0.977141,0.978258,2.91,136.0,165.7
R3_DWT,4,middle,0.979430,0.983106,2.91,136.0,121.5
R3_DWT,5,middle,0.981485,0.982281,2.91,136.0,108.5
R3_DWT,6,middle,0.979755,0.981885,2.91,136.0,119.4
R3_DWT,7,middle,0.985428,0.982841,2.91,136.0,109.9
R3_DWT,8,middle,0.984950,0.983900,2.91,136.0,90.2
R3_DWT,9,middle,0.983966,0.981772,2.91,136.0,130.1
R3_DWT,10,middle,0.987502,0.981764,2.91,136.0,128.1
R3_DWT,11,middle,0.981943,0.979179,2.91,136.0,174.3
R3_DWT,12,late,0.983626,0.976243,2.91,136.0,147.5
R3_DWT,13,late,0.985710,0.978698,2.91,136.0,183.8
R3_DWT,14,late,0.986593,0.978452,2.91,136.0,104.0
R3_DWT,15,late,0.982798,0.977103,2.91,136.0,108.6
